job_skill,frequency
Podstawowa wiedza z zakresu bezpieczeństwa IT,1
jakości (Sonar) i konteneryzacji (Docker,1
wykształcenie wyższe w obszarze biotechnologii,1
chemii lub podobne wpisujące się w obszar działalności Wirtualnego Instytutu Badawczego,1
znajomość procedur,1
nomenklatury związane z ochroną i komercjalizacją IP,1
znajomość najnowszych technologii i trendów w rozwoju szeroko rozumianej biologii,1
medycyny itp. zgodnie z posiadanym wykształceniem,1
min. trzyletnie doświadczenie w jednostkach/komórkach związanych z transferem technologii – preferowane doświadczenie w podmiotach (w tym zagranicznych) typu venture capital,1
business development lub podobnych,1
znajomość języka polskiego i angielskiego na poziomie umożliwiającym płynną komunikację,1
swobodne posługiwanie się pakietem Microsoft Office ze szczególnym uwzględnieniem programu Excel jako narzędzia do sporządzania bazy danych i ich analizy,1
wnikliwego analizowania dokumentów i precyzowania na ich podstawie wniosków,1
także interdyscyplinarnym,1
gotowość do współdziałania,1
gotowość do wydawania autonomicznych opinii,1
ukończone szkolenia/studia podyplomowe z zarządzania projektami,1
stopień doktora w obszarze biotechnologii,1
chemii lub pokrewnym,1
doświadczenie min. rocznego pobytu naukowego za granicą,1
doświadczenie (znajomość specyfiki pracy) w pracy w jednostkach publicznych.,1
fizyka.,1
w aktuariacie,1
min. 3 lata.,1
Dobra Umiejętność programowania (Visual Basic,1
programów Access,1
oraz specjalistycznego oprogramowania aktuarialnego Prophet.,1
Bardzo dobre umiejętności analityczne i matematyczne.,1
Dobra znajomość procesów w kalkulacji rezerw ubezpieczeniowych oraz przepisów prawnych związanych z naliczaniem rezerw aktuarialnych.,1
Umiejętność wyceny zmian aktuarialnych do istniejącego produktu.,1
posiadasz wykształcenie wyższe (preferowane kierunki ścisłe lub związane z finansami),1
posiadasz doświadczenie w pracy związanej z zarządzaniem ryzykiem i/lub w obszarach powiązanych,1
znasz narzędzia analityczne i bazodanowe i/lub chcesz się rozwijać w tym zakresie,1
znasz język angielski na poziomie umożliwiającym pracę z dokumentacją,1
publikacjami oraz literaturą z zakresu adekwatności kapitałowej.,1
1–2 years of relevant technical support experience (IT,1
or incident management).,1
Experience working with APIs and real-time system integrations.,1
Understanding of technical troubleshooting and issue resolution.,1
Strong communication skills with ability to translate technical concepts into business language.,1
Advanced English skills (C1–C2 level),1
written and spoken.,1
Ability to work US hours: 2:00 PM – 10:00 PM CET (8:00 AM – 4:00 PM EST).,1
Availability for on-call support (rotational basis).,1
Experience in the financial services or credit card domain.,1
Familiarity with API tools like Postman or similar.,1
Basic programming knowledge (e.g.,1
Exposure to UNIX/Linux environments.,1
Bachelor’s or Master’s degree in IT or related field.,1
Knowledge of ITIL,1
or other service management methodologies.,1
Prime Licensing or equivalent fintech domain knowledge.,1
bardzo dobra znajomość i umiejętność interpretowania przepisów prawa pracy i ubezpieczeń społecznych,1
co najmniej 4 letnie doświadczenie na analogicznym stanowisku w dużej organizacji,1
dobra znajomość przepisów o czasie pracy,1
preferowana znajomość systemów TETA,1
Kronos,1
znajomość programów pakietu MS Office (Power Point,1
znajomość języka angielskiego w stopniu umożliwiającym swobodną komunikację.,1
Doświadczenie w analizie danych i procesów ETL (min. 3 lata),1
Znajomość narzędzi ETL: Informatica / Talend / SSIS / Apache Nifi / Airbyte (w zależności od środowiska),1
Biegłość w SQL (w tym JOINy,1
agregacje,1
podzapytania,1
CTE),1
Umiejętność modelowania danych (relacyjne,1
star/snowflake schema),1
Znajomość hurtowni danych (np. Snowflake,1
SQL Server).,1
Znajomość Python lub Bash do przetwarzania danych i automatyzacji,1
Doświadczenie w pracy z chmurą (AWS,1
GCP lub Azure) będzie atutem.,1
Extensive experience in calculating payroll,1
Understanding of how payroll systems work,1
Demonstrated highest standards (accuracy,1
timeliness to ensure compliance with internal and external regulations),1
Ability to collaboratively work within a team to deliver clear results,1
Solid verbal and written communication skills required including business writing skills in English while interacting with employees and business partners on simple payroll related queries are essential,1
Demonstrated interest and ambition to grow in the payroll profession,1
Ability to articulate and communicate with clients in a concise and professional manner,1
Ability to propose solution to problems,1
Min. 3-4 lata doświadczenia jako DB Developer / Database Engineer,1
Bardzo dobra znajomość SQL (w tym T-SQL lub PL/pgSQL),1
Doświadczenie w optymalizacji zapytań i struktur danych,1
Umiejętność projektowania i dokumentowania modeli danych,1
Znajomość narzędzi: pgAdmin,1
Znajomość systemów kontroli wersji (np. Git),1
doświadczenie z chmurą (AWS RDS/Aurora,1
Azure SQL),1
pgAdmin,1
AWS RDS,1
Aurora,1
Minimum 5 lat doświadczenia w programowaniu w Java.,1
Znajomość JavaScript (w tym frameworków front-endowych,1
np. React,1
Angular lub Vue.js).,1
Doświadczenie w pracy z mikroserwisami oraz znajomość REST API.,1
Praktyczna znajomość zasad i wzorców komunikacji asynchronicznej (message queues) - np. Kafka,1
RabbitMQ.,1
Znajomość wzorców projektowych (design patterns).,1
Umiejętność korzystania z baz danych SQL.,1
Znajomość narzędzi takich jak Docker,1
narzędzi CI/CD oraz systemu kontroli wersji Git.,1
Doświadczenie z chmurą (np. AWS,1
Praktyczna wiedza o metodologii Agile.,1
Doświadczenie w projektach związanych z logistyką.,1
Zrozumienie zasad metodologii BDD,1
DDD.,1
You have university degree in Marketing,1
Communications or Diploma in Fashion Marketing.,1
You are an experienced professional,1
with at least 2 years in Brand or Retail Marketing experience.,1
With your event management skills and proven record of events (for examlpe pop-up stores,1
retail store events) you will coordinate events.,1
time management and organization skills are the must.,1
with an emphasis on Power Point. Photoshop & InDesign an asset.,1
Familiar with DMR and Fashion GPS/Launchmetrics platforms.,1
We are international company,1
therefore fluent English Language,1
written and oral is a must. Your Polish language skills would be a big plus.,1
Do you have Network and relationships withing PR environment? Great,1
It would be a plus!,1
masz wykształcenie ekonomiczne lub doświadczenie z zakresu bankowości lub finansów,1
znasz przynajmniej jeden z języków: Python,1
masz wiedzę z zakresu rozwiązań informatycznych.,1
Znajomość przepisów dotyczących finansowania świadczeń opieki zdrowotnej ze środków publicznych (ustawy,1
rozporządzenia,1
zarządzenia).,1
Znajomość portali NFZ.,1
Znajomość systemów AMMS (Asseco),1
KS-Somed,1
KS-Medis,1
KS-PPS będzie dodatkowym atutem.,1
Dobra znajomość pakietu Microsoft Office.,1
Umiejętność samodzielnego planowania pracy i ustalania priorytetów.,1
dokładność oraz rzetelność.,1
Umiejętność pracy pod presją czasu i przy zadaniach wymagających dużej koncentracji.,1
Wielozadaniowość i elastyczność w działaniu.,1
Rozwinięte umiejętności komunikacyjne i pracy zespołowej.,1
Zdolność szybkiego uczenia się oraz łatwość adaptacji do zmian.,1
znajomość zagadnień z obszaru aktuariatu,1
raportowania i analizy finansowej zakładów ubezpieczeń,1
min. 5 letnie doświadczenie zawodowe w obszarze wyceny rezerw dla ubezpieczeń majątkowych,1
praktyczna znajomość SQL,1
umiejętność zadawania właściwych pytań,1
doświadczenie w obszarze wyceny zobowiązań ubezpieczeniowych wg IFRS17,1
licencja aktuarialna.,1
Must be passionate about technology and demonstrate their aptitude for exploring,1
learning and building technology,1
Be able to work well in a team and be an excellent communicator,1
Be interested in solving problems and flexible and adaptable in doing so,1
Be able to work under pressure and to deadlines in a dynamic environment,1
lambdas),1
Familiar with TDD,1
continuous deployment and testing,1
Experience with REST and messaging technologies,1
Understanding of DevOps practice,1
Senior level consulting experience in Microsoft Dynamics application with focus on business modeling and solutions implementation,1
Candidate should have at least 8+ years of Microsoft Dynamics D365 Sales implementation experience and have participated in a minimum of 3 complete life cycle implementations,1
Good understanding of existing Microsoft ALM stack and experience using it,1
Ability to use VSTS/TFS as a consulting task tracking tool,1
Complete understanding and following Process-driven implementation approach,1
Analyze and understand business problems,1
Apply high-level solution architecture and design (Functional and/or Technical),1
Analyze,1
and dissect business processes and re-engineer with best practices,1
Document and capture business requirements and processes properly,1
Model data and processes,1
Conduct workshops and training sessions,1
Plan and carry out system and user acceptance testing,1
Provide professional support,1
Minimum 5 lat doświadczenia w backendowym programowaniu w Pythonie,1
Bardzo dobra znajomość Python i zasad programowania obiektowego,1
Doświadczenie z Django,1
Umiejętność projektowania i korzystania z REST API,1
Znajomość baz danych SQL (np. PostgreSQL,1
Doświadczenie w pracy z Git oraz zarządzaniem zależnościami (pip/Poetry/virtualenv),1
Proven experience as a Cloud Engineer or similar role.,1
Strong knowledge of cloud platforms (e.g.,1
and orchestration tools (e.g.,1
Proficiency in scripting and automation (e.g.,1
Solid understanding of networking,1
and infrastructure best practices.,1
Excellent problem-solving skills and a proactive approach.,1
masz wykształcenie wyższe (preferowane kierunki bankowość,1
posiadasz doświadczenie w obszarze rozpatrywania reklamacji w sektorze bankowym,1
jesteś nastawiony/a na współpracę z innymi komórkami przy rozwiązywaniu problemów,1
potrafisz interpretować  przepisy prawa i regulacje wewnętrzne,1
tworzysz pisma i komunikaty zgodnie z zasadami prostego języka,1
potrafisz analizować procesy bankowe,1
umiesz pracować samodzielnie oraz w zespole,1
dobrze posługujesz się narzędziami z pakietu MS Office,1
Minimum 3 lata doświadczenia w prowadzeniu szkoleń z zakresu sprzedaży,1
obsługi klienta oraz rozwoju kompetencji menedżerskich,1
w tym doświadczenie w pracy trenerskiej z różnymi obszarami organizacji,1
Minimum 2 lata doświadczenia w zarządzaniu zespołem trenerskim,1
Biegła obsługa pakietu MS Office (w szczególności PowerPoint i Excel),1
Doskonała znajomość technik sprzedaży oraz procesów obsługi klienta,1
Masz doświadczenie w projektowaniu struktur analiz danych w hurtowniach danych,1
Dobrze znasz SAP BW,1
najlepiej w wersji 7.4,1
Swobodnie poruszasz się w środowisku ABAP,1
Masz doświadczenie w tworzeniu REST API,1
Znasz narzędzia eksploracji danych: Business Objects,1
Znasz podstawy wzorców projektowych,1
komunikatywną i potrafisz działać w zespole,1
is essential. Proficiency in any other European language will be a plus,1
Fluency in Polish is mandatory,1
Strong teamwork skills. Being able to work well with others and share ideas will contribute to our overall success,1
A strong customer focus with excellent communication skills. You should be able to effectively engage with senior stakeholders and manage their expectations,1
and a practical approach to problem-solving,1
Recruiting experience including knowledge of interviewing tools and techniques,1
3+ years of practical experience in developing commercial-grade web-based software applications using JavaScript and front-end technologies (HTML5,1
Demonstrated proficiency with data-driven web applications,1
Practical use of SOLID programming principles,1
3 or more years of competitive web development experience and working in Scrum/Kanban/Agile environment,1
Demonstrated ability to work well with business analysts,1
programmers,1
and end users in a cross-functional team,1
Good communication skills and impeccable written communication skills,1
a team player with an entrepreneurial spirit,1
Good understanding of vanillaJS and JavaScript frameworks and libraries (e.g. React),1
Familiarity with REST,1
Familiarity with modern JavaScript tools (e.g. Yarn,1
and highly motivated with a well-organized work style,1
Excellent Polish and English (verbal and written),1
vanillaJS,1
Wykształcenie wyższe z obszaru finansów,1
Doświadczenie w obszarze gwarancji bankowych lub ubezpieczeniowych (mile widziane w branży budowlanej),1
Doświadczenie w procesowaniu faktur i płatności w systemach finansowo-księgowych / na platformach bankowych,1
Doświadczenie w pracy z systemem finansowo–księgowym (ERP),1
Dobra znajomość Ms Excel,1
Umiejętność pracy z fakturami,1
notami kredytowymi,1
Zdolność do analitycznego myślenia oraz samodzielnego rozwiązywania problemów,1
zaangażowanie w powierzone czynności,1
Umiejętność kontroli pracy własnej,1
doświadczenie w roli rekrutera w agencji pracy (mile widziane doświadczenie wolumenowe,1
outsourcingowe),1
umiejętność budowania relacji i zarządzania oczekiwaniami klienta,1
samodzielność w organizacji pracy własnej,1
zarządzaniu czasem i kalendarzem,1
prawo jazdy kat. B (częste wizyty u klientów),1
Good C++ skills,1
min. 3 lata doświadczenia w pracy na podobnym stanowisku,1
znajomość narzędzi ETL (w szczególności SSIS,1
Pentaho) (warunek konieczny),1
bardzo dobra znajomość SQL oraz baz danych (relacyjne i nierelacyjne),1
doświadczenie w pracy z dużymi wolumenami danych oraz ich optymalizacji (warunek konieczny),1
znajomość zagadnień związanych z hurtowniami danych i modelowaniem danych,1
znajomość języka angielskiego pozwalająca na swobodną komunikację z zagranicznymi interesariuszami,1
znajomość języków programowania (Python,1
tworzenie modeli w PowerBI z wykorzystaniem programowania w DAX,1
doświadczenie w pracy z chmurą (AWS,1
wiedza na temat narzędzi Big Data,1
znajomość programu Sage Symfonia,1
wiedza z zakresu branży finansowej,1
Pentaho,1
Prześlij nam swoją aplikację jeżeli:,1
potrafisz posługiwać się przyrządami pomiarowymi,1
potrafisz odczytać rysunek techniczny,1
masz umiejętność koncentracji uwagi,1
potrafisz pracować według ściśle określonych reguł,1
Nie masz doświadczenia,1
ale masz zmysł techniczny i chęć do pracy - nauczymy Cię!,1
doświadczenie w obsłudze urządzeń pomiarowych (Zoller,1
Helicheck),1
doświadczenie na takim samym lub podobnym stanowisku.,1
Znajomość technologii związanych z obróbką metalu (cięcie,1
walcowanie,1
spawanie),1
Sumienność i rzetelność w wykonywaniu powierzonych zadań,1
Umiejętność zarządzania i motywowania do pracy podległego zespołu,1
3+ years of experience leading or mentoring mobile engineering teams,1
5+ years of proven hands-on experience with React Native and JavaScript/TypeScript,1
Solid background in mobile app development for iOS and Android (Swift/Kotlin/Java),1
Strong knowledge of RESTful APIs and event-driven architectures,1
Experience designing or working with microservices,1
Familiarity with CI/CD pipelines and DevOps workflows for mobile apps,1
Understanding of mobile application security and best practices,1
Ability to translate business needs into scalable technical solutions,1
Experience working in Agile environments with cross-functional teams,1
Experience with mobile analytics or performance monitoring tools,1
Familiarity with automated testing frameworks for mobile apps,1
Exposure to financial or regulated industries,1
Background in accessibility and internationalization of mobile applications,1
Knowledge of containerization tools and infrastructure-as-code principles,1
Doświadczenie w zarządzaniu zespołem w obszarze produkcji,1
Wykształcenie min. średnie lub wyższe,1
Swobodne korzystanie z narzędzi Pakietu MS Office,1
Umiejętność myślenia analitycznego i podejmowania decyzji pod presją czasu,1
Znajomość procesów produkcyjnych oraz narzędzi Lean Manufacturing,1
Motywacja do ciągłego podnoszenia kompetencji i rozwoju zawodowego,1
Dyspozycyjność do pracy w systemie 3 - zmianowym/4-brygadowym,1
Znajomość języka angielskiego (poziom komunikatywny),1
Minimum 2–3 lata doświadczenia w pracy na podobnym stanowisku w dziale HR,1
controllingu lub finansach – mile widziane w dużej organizacji korporacyjnej,1
Doświadczenie w pracy z danymi personalnymi,1
wynagrodzeniami oraz budżetowaniem kosztów pracy,1
Bardzo dobra znajomość MS Excel (w tym tabele przestawne,1
Praktyczna znajomość systemu SAP HR / SAP FI/CO – mile widziane doświadczenie w obszarze danych personalnych lub kontrolingu personalnego,1
Umiejętność pracy z systemami BI w zakresie tworzenia i analizy dashboardów,1
interpretacji danych (QlikView/Qlik Sense  – mile widziane),1
Bardzo dobre zdolności analityczne – umiejętność interpretowania danych i wyciągania wniosków,1
Umiejętność pracy z dużą ilością danych oraz ich przekształcania w użyteczne informacje biznesowe,1
rzetelność i odpowiedzialność za powierzone zadania,1
Umiejętność samodzielnego planowania pracy oraz terminowego realizowania zadań,1
Umiejętność pracy w zespole i komunikatywność – także we współpracy z działami niefinansowymi,1
Otwartość na zmiany i chęć rozwoju w obszarze analiz HR oraz systemów wynagrodzeń,1
Gotowość do pracy w dynamicznym środowisku i przy wielu równoległych zadaniach,1
Znajomość zasad rachunkowości kosztów pracy i controllingu personalnego – jako dodatkowy atut,1
SQL lub innych narzędzi analitycznych,1
Minimum 5 lat doświadczenia we wdrażaniu i konfiguracji Google Analytics i Google Tag Managera.,1
Znajomość struktury data layer,1
umiejętność sugerowania nowych elementów na podstawie potrzeb biznesowych.,1
Umiejętność wizualizacji danych (Google Looker Studio,1
Power BI będzie dodatkowym atutem).,1
Wiedza z zakresu HTML,1
CSS i JavaScript potrzebna do skutecznej pracy w Google Tag Manager.,1
Biegła znajomość  SQL i pracy w środowisku BigQuery.,1
Doświadczenie minimum 4 lata w narzędziach reklamowych Google Ads/ Facebook Ads lub przygotowywaniu różnych modeli atrybucji (będzie to duży plus).,1
Zrozumienie zasady digital marketingu i specyfiki poszczególnych kanałów pozyskiwania ruchu.,1
Znajomość języka angielskiego na poziomie min C1,1
Doświadczenie na pokrewnym stanowisku minimum 2 lata,1
Preferowane doświadczenie w podmiocie produkcyjnym,1
Wykształcenie minimum średnie ekonomiczne,1
Umiejętność sprawnej obsługi pakietu MS Office,1
Doświadczenie w pracy na  systemie ABAS ERP,1
Ponad 4 lata doświadczenia w pracy w dziale marketingu (minimum rok w sektorze Fintech),1
Doświadczenie w budowaniu oraz zarządzaniu marką,1
Sprawne poruszanie się po rynku finansowym oraz nowych technologii,1
Dobre zrozumienie najlepszych praktyk marketingu B2B,1
Znajomość języka angielskiego (min. C1),1
Znajomość e-marketingu oraz praktycznego zastosowania narzędzi typu CMS,1
CRM oraz Google (Analytics,1
GAds,1
GSC) na potrzeby weryfikacji skuteczności prowadzonych działań,1
Duża samodzielność oraz kreatywność w działaniach.,1
Obsługa takich narzędzi jak: Jira,1
Slack.,1
wiedza ekspercka z co najmniej 2 z następujących obszarów: Enterprise Linux,1
chmura publiczna,1
baza danych Oracle,1
automatyzacja procesów wdrożeniowych,1
konteneryzacja i Kubernetes,1
doświadczenie w zarządzaniu zespołem specjalistów technicznych,1
umiejętność trafnego identyfikowania problemów w działaniu aplikacji,1
baz danych oraz innych komponentów systemowych,1
a także znajdowania optymalnego rozwiązania w oparciu o dostępne środki i narzędzia,1
strategiczne i biznesowe podejście w kontekście realizowanych projektów,1
umiejętność budowania zaangażowania wśród pracowników,1
dobra organizacja pracy i komunikacji,1
terminowość i odpowiedzialność za pracę swoją i zespołu,1
znajomość języka angielskiego pozwalająca na sprawną komunikację z klientem,1
prace z usługami oraz tworzenie dokumentacji technicznej,1
znajomość baz danych Oracle,1
PostgreSQL od strony administratora,1
znajomość oprogramowania IBM Websphere MQ,1
znajomość Kafka,1
Ansible oraz doświadczenie w  automatyzacji procesów CI/CD za pomocą Gitlab i Jenkins,1
min. 2 lata doświadczenia w zarządzaniu zespołem na stanowisku lidera,1
brygadzisty lub kierownika w środowisku produkcyjnym,1
preferowany obszar lakierni,1
kompetencje przywódcze,1
umiejętność motywowania,1
egzekwowania zadań oraz rozwiązywania konfliktów w zespole,1
dobra organizacja pracy własnej i swojego zespołu – planowanie,1
ustalanie priorytetów,1
szybkie podejmowanie decyzji,1
znajomość narzędzi Lean Management,1
swobodne poruszanie się w środowisku MS Office (Excel,1
wysokie poczucie odpowiedzialności za powierzone zadania oraz bezpieczeństwo pracy,1
znajomość procesów lakierniczych,1
budowy automatycznych kabin,1
znajomość języka angielskiego lub niemieckiego – na poziomie komunikatywnym,1
At least 6 years as a DevOps or SRE experience,1
At least 1 year experience as a Tech Lead,1
SRE Lead or DevOps manager,1
Proficiency in English and Excellent communication skills (verbal and written) required to communicate in a global team to build solid relationships with peers.,1
Very good analytical skills and the ability to creatively find solutions to complex problems.,1
Self-organized and the ability to handle multiple competing priorities.,1
Ability to navigate through ambiguity in a fast-paced environment.,1
Strong knowledge of both SRE,1
DevOps and  Agile principles and how it applies to software engineering practices.,1
Practical experience in: Amazon Web Services,1
CI/CD - Continuous Integration and Deployment solutions (GitHub Actions,1
Circle Ci),1
Very good knowledge of Linux environment,1
Skills in Bash programming,1
as well as other script based languages (Python),1
Knowledge of basic network protocols and services,1
B.Sc. or M.Sc. degree in the field of Informatics,1
Telecommunication or related subject,1
resourcefulness,1
and a positive attitude are the keys to success in this role,1
Programming in Go,1
Working experience in all aspects of software engineering,1
including coding,1
and infrastructure.,1
Knowledge of protocols and data exchange formats: HTTP/1.1/2.0,1
wiedza i doświadczenie w zakresie Lean Manufacturing,1
Six Sigma oraz Ciągłego Doskonalenia,1
doświadczenie menedżerskie,1
minimum 3 lata doświadczenia w zarządzaniu projektami,1
usprawnianiu procesów produkcyjnych,1
doświadczenie w analizie i identyfikowaniu obszarów do poprawy,1
praktyczna znajomość narzędzi i metod optymalizacji procesów,1
wykształcenie wyższe inżynierskie,1
znajomość języka angielskiego na poziomie umożliwiającym swobodną komunikację (B2) – warunek konieczny,1
znajomość programów MS Office,1
udokumentowana umiejętność kwestionowania obecnych praktyk,1
analizowania i wyciągania wniosków na podstawie ustaleń,1
etyka zawodowa i kultura osobista.,1
doświadczenie w pracy administracyjnej (dokumenty,1
zestawienia) oraz w pracy z ludźmi,1
wyższe wykształcenie (preferowane administracja,1
nastawienie na poszukiwanie rozwiązań oraz otwartość na przełamywanie schematów,1
komunikatywność oraz „lekkie pióro”,1
przejawianie inicjatywy,1
nastawienie na rozwój i chęć podejmowania się „nowych tematów”,1
sprawne posługiwanie się programami z pakietu Microsoft Office (w szczególności MS Excel),1
doświadczenie w pracy w wewnętrznym dziale HR  lub agencji rekrutacyjnej,1
Minimum roczne doświadczenie w dziale marketingu.,1
Bardzo dobra znajomość języka angielskiego - warunek wymagany.,1
Swobodne poruszanie się w środowisku internetowym i zainteresowanie tematyką marketingu.,1
Podstawowa wiedza z zakresu SEO w kontekście tworzenia tekstów.,1
Umiejętność organizacji i planowania czasu.,1
skrupulatność i szybkość w działaniu.,1
Bardzo dobrych umiejętności komunikacyjnych,1
organizacji pracy własnej i zarządzania czasem.,1
Wykształcenie wyższe techniczne/informatyczne lub ekonomiczne,1
Minimum kilkuletnie doświadczenie na stanowisku o podobnym zakresie obowiązków,1
Praktyczna wiedza z specyfiki elektromobilności (CPO i MSP) oraz systemów towarzyszących,1
Doświadczenie przy wdrażanie produktów systemowych i aplikacji przy współpracy z dostawcami zewnętrznymi,1
Doświadczenie w zakresie definiowania potrzeb biznesowych oraz rozumienie ich korelacji z systemami IT,1
Praktyczna znajomość różnych standardów,1
metodyk i podejść zarządzania projektami tradycyjnymi (waterfall) oraz zwinnymi (agile),1
Zaawansowana znajomość narzędzi biurowych MS (Outlook,1
Znajomość narzędzi wspierających prowadzenie projektów (m.in. JIRA,1
Gotowość do podróży krajowych i zagranicznych,1
Komunikatywna znajomość języka niemieckiego lub czeskiego,1
Znajomość protokołów komunikacji OCPP,1
OCPI,1
Posiadanie certyfikatu z zarządzania projektami: CAPM/ PMP,1
SAFe Agilist,1
Experienced: You’ve worked in IT delivery or project leadership for at least 6 years,1
• Proactive: You don’t wait to be asked — you step forward,1
take charge,1
and make things,1
clearer,1
• Structured: You can build frameworks where none exist,1
and you’re confident applying them,1
• Strong Communicator: Whether with customers or internal stakeholders,1
people understand,1
and trust you,1
• Collaborative Leader: You coach,1
and align cross-functional teams to get things done,1
• Commercially Aware: You understand how delivery connects to revenue,1
and,1
customer expectations,1
• Customer-First: You care about client outcomes and have the confidence to speak up when,1
something needs to change,1
Good organizational,1
communication & consulting skills,1
Knowledge about Data Mesh concept,1
Knowledge about Data One Platform (Snowflake),1
Familiar with Data Vault Concept and Design,1
Knowledge of ETL (Talend),1
Ability to understand the architecture of the existing legacy landscape and come up with architectural options to do this in the SF Platform,1
Ability to understand the various technologies in the complex landscape and the analytical capabilities of these technologies,1
Ability to troubleshoot issues / incidents in complex data models (support OPS and DEV Teams if needed),1
Have a good understanding of the Commercial Processes in DIA and the data behind,1
Experience as a Data Engineer and Data Architect,1
Good understanding of Data and Analytics Architecture patterns,1
Proficiency in data transformation,1
with a preference for SQL (high-level of SQL skills,1
required for complex queries),1
Snowflake and dbt (nice-to-have),1
Experience in a CI/CD setting (DataOps,1
Experience in Data Products and Data Mesh Concepts and Information Architecture and Modeling,1
Good understanding of data input & output formats - APIs,1
extracts,1
user inputs etc,1
Solid understanding of data retrieval,1
Experience setting up data sharing agreements,1
Experience defining observability rules and mechanisms,1
Knowledge of AWS (nice-to-have),1
These processes in the Commercial Space,1
posiadasz ok 12 lat doświadczenia zawodowego w programowaniu w C++,1
posiadasz wykształcenie wyższe z obszaru informatyki/inżynierii,1
posiadasz udokumentowane doświadczenie jako architekt techniczny,1
posiadasz doświadczenie w zarządzaniu projektami i architekturze zorientowanej na usługi,1
posiadasz znajomość różnych systemów operacyjnych (np. Window,1
Linux) i baz danych (np. MySQL,1
posiadasz doświadczenie w technologiach chmurowych (preferowane GCP),1
posiadasz doświadczenie devopsowe.,1
Window,1
Fluency in both English and Polish (minimum C1 level).,1
Certified and proven expertise in Polish labour law.,1
Solid experience in payroll processes and cooperation with payroll providers.,1
Proven track record in HR operations,1
including onboarding,1
Ability to provide expert guidance and trainings to managers and employees on HR-related topics.,1
Agile learner,1
proactive in knowledge development.,1
Excellent organizational and time management skills.,1
Strong problem-solving abilities.,1
Familiarity with HRIS systems and HR data management.,1
Understanding of performance management and salary review processes.,1
Proficiency in MS Office tools.,1
Familiarity with change management and organizational development practices.,1
Coaching and advisory experience,1
particularly for line managers.,1
Experience designing internal HR materials or training content.,1
Dobra znajomość języka niemieckiego.,1
Podstawowa wiedza z zakresu procesów i procedur kontroli jakości w branży automotive.,1
Doskonałe umiejętności komunikacyjne oraz umiejętność pracy w zespole.,1
Dobra organizacja pracy własnej oraz podległego personelu.,1
NET Framework,1
( .NET Core),1
WebApi,1
WCF (SOAP,1
JavaScript (nice to have Angular),1
ORM (EntityFramework),1
TSQL (CRUD,1
database creation),1
Git/SVN,1
Narzędzia DevOps (TeamCity,1
Octopus,1
GitLab CI/CD),1
Agregacja logów (Grafana Loki),1
dobrze organizujesz swój własny czas,1
jesteś skrupulatny/a i systematyczny/a,1
potrafisz wyciągać wnioski na podstawie danych liczbowych i jesteś otwarty/a na zdobywanie nowej wiedzy,1
znasz Excela i Power Pointa w stopniu dobrym,1
jesteś dyspozycyjny/a min. 3 dni w tygodniu w godzinach 7 - 17 (możesz rozpocząć pracę pomiędzy godziną 7:00 - 9:00 i pracujesz 8 godzin),1
"czym jest Customer Experience i potrafisz się ""wczuć"" w głos klienta",1
interesujesz się zagadnieniami związanymi z nowoczesnymi technologiami,1
AI lub Customer Experience,1
wykształcenie wyższe lub w trakcie studiów (preferowane kierunki Zarzadzania Jakością,1
Budowa maszyn),1
otwartość na nowe technologie,1
chęć podnoszenia kwalifikacji w zakresie Zarządzania Jakością,1
znajomości języka angielskiego (w stopniu samodzielnej komunikacji),1
uprawnienia VT2 będą dodatkowym atutem.,1
Degree in Economics/ Computer Science/ Business Analytics/ MBA or related field,1
2+ years of product management experience in AI/ ML/ LLM,1
data-driven products and/ or digital customer engagement,1
Proven experience in leading AI or software engineering teams through the full software development lifecycle – from ideation to production deployment and maintenance.,1
Deep understanding of AI and automation technologies and natural language processing,1
Ability to define and enforce technical standards within the team,1
including code reviews,1
documentation practices,1
deployment processes,1
and tech stack decisions – all aligned with documented industry best practices.,1
Exceptional communication skills to work effectively with cross-functional teams,1
Familiarity with programming languages such as Python,1
Familiarity with cloud computing platforms for AI (AWS,1
Good knowledge of English language (C1),1
Strong knowledge of banking processes and regulatory requirements,1
Experience in Salesforce solution design and business analysis,1
Knowledge of foreign languages DE min. B1 and EN min. B2 (advanced language skills),1
Experience in implementing and working with ISO 14001,1
45001,1
50001 or quality management systems,1
Willingness to travel on business (average one week per month),1
Preferably living in the region Częstochowa,1
Opole,1
Katowice and Wrocław,1
Very good knowledge of applicable environmental laws,1
norms and standards,1
At least one year of experience in a similar position in a manufacturing company,1
ISO 19011 auditor certificate,1
CV in Polish and English or German required,1
Posiadasz minimum 3-letnie doświadczenie w obszarze związanym z zamykaniem ksiąg i ustalaniem wyniku finansowego banku oraz przygotowywaniem sprawozdawczości finansowej dotyczącej rachunku wyników banku.,1
Znasz przepisy z zakresu MSSF oraz sprawozdawczości obligatoryjnej w zakresie dotyczącym banków i posiadasz praktyczną umiejętność analiz i interpretacji przepisów z tego obszaru.,1
Posiadasz zdolność analitycznego myślenia oraz umiejętność wyciągania wniosków z analizowanych danych.,1
Znasz język SQL.,1
Access.,1
silna motywacja do pracy,1
umiejętność samodzielnego działania,1
gotowość do ciągłego podnoszenia kwalifikacji,1
znajomość zagadnień dotyczących czasu pracy kierowców,1
doświadczenie w zakresie rozliczania czasu pracy,1
